parameter,CharacteristicName,ResultMeasure.MeasureUnitCode,n_records
sediment,Suspended Sediment Concentration (SSC),%,889
sediment,Suspended Sediment Concentration (SSC),mg/l,8122
sediment,Suspended Sediment Concentration (SSC),NA,38
sediment,Suspended Sediment Discharge,tons/day,4573
sediment,Suspended Sediment Discharge,NA,86
sediment,Total suspended solids,%,2
sediment,Total suspended solids,mg/l,18754
sediment,Total suspended solids,ppm,1
sediment,Total suspended solids,ug/l,67
sediment,Total suspended solids,NA,92
